时间戳,数据1,数据2,数据3,数据4,数据5,数据6,数据7,数据8,数据9,数据10,数据11,数据12
2025-07-14 11:50:12.614,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0
2025-07-14 11:50:12.714,0.09983341664682815,1.0998334166468282,2.099833416646828,3.099833416646828,4.099833416646828,5.099833416646828,6.099833416646828,7.099833416646828,8.099833416646828,9.099833416646828,10.099833416646828,11.099833416646828
2025-07-14 11:50:12.814,0.19866933079506122,1.1986693307950613,2.1986693307950613,3.1986693307950613,4.198669330795061,5.198669330795061,6.198669330795061,7.198669330795061,8.198669330795061,9.198669330795061,10.198669330795061,11.198669330795061
2025-07-14 11:50:12.914,0.2955202066613396,1.2955202066613396,2.2955202066613394,3.2955202066613394,4.295520206661339,5.295520206661339,6.295520206661339,7.295520206661339,8.29552020666134,9.29552020666134,10.29552020666134,11.29552020666134
2025-07-14 11:50:13.014,0.3894183423086505,1.3894183423086506,2.3894183423086504,3.3894183423086504,4.389418342308651,5.389418342308651,6.389418342308651,7.389418342308651,8.38941834230865,9.38941834230865,10.38941834230865,11.38941834230865
2025-07-14 11:50:13.114,0.479425538604203,1.479425538604203,2.479425538604203,3.479425538604203,4.479425538604203,5.479425538604203,6.479425538604203,7.479425538604203,8.479425538604204,9.479425538604204,10.479425538604204,11.479425538604204
2025-07-14 11:50:13.214,0.5646424733950355,1.5646424733950355,2.5646424733950353,3.5646424733950353,4.564642473395035,5.564642473395035,6.564642473395035,7.564642473395035,8.564642473395036,9.564642473395036,10.564642473395036,11.564642473395036
2025-07-14 11:50:13.314,0.6442176872376911,1.644217687237691,2.644217687237691,3.644217687237691,4.644217687237691,5.644217687237691,6.644217687237691,7.644217687237691,8.644217687237692,9.644217687237692,10.644217687237692,11.644217687237692
2025-07-14 11:50:13.414,0.7173560908995228,1.7173560908995227,2.7173560908995227,3.7173560908995227,4.717356090899523,5.717356090899523,6.717356090899523,7.717356090899523,8.717356090899523,9.717356090899523,10.717356090899523,11.717356090899523
2025-07-14 11:50:13.514,0.7833269096274834,1.7833269096274833,2.7833269096274833,3.7833269096274833,4.783326909627483,5.783326909627483,6.783326909627483,7.783326909627483,8.783326909627483,9.783326909627483,10.783326909627483,11.783326909627483
